District,State,Days,WetDays,ObsMean,ServedMean,RawRMSE,RMSE,Bias,WetF1,Recall,Precision,P90Err,MaxErr
Satna,Madhya Pradesh,365,137,15.69,6.55,37.41,34.04,-9.14,0.798,0.737,0.871,32.57,348.9
Hoshiarpur,Punjab,365,163,14.2,2.36,30.13,28.46,-11.84,0.494,0.387,0.685,36.35,177.6
Niwari,Madhya Pradesh,365,133,11.67,3.98,30.6,27.56,-7.69,0.774,0.684,0.892,22.84,206.6
Shimla,Himachal Pradesh,365,150,13.02,6.44,28.64,27.08,-6.58,0.616,0.7,0.55,31.84,177.6
East Siang,Arunachal Pradesh,365,145,11.5,4.94,28.28,24.03,-6.56,0.667,0.724,0.618,30.43,175.1
Panna,Madhya Pradesh,365,120,8.15,11.73,21.94,23.76,3.58,0.743,0.783,0.707,41.42,151.4
Bokaro,Jharkhand,365,103,9.43,5.95,24.27,23.72,-3.48,0.735,0.835,0.656,23.84,170.7
Amritsar,Punjab,365,139,11.71,4.3,26.57,23.48,-7.41,0.654,0.619,0.694,26.49,153.6
Lunglei,Mizoram,365,53,2.06,15.08,13.03,23.1,13.02,0.423,0.906,0.276,41.76,82.0
Wanaparthy,Telangana,365,117,8.23,1.85,22.76,22.55,-6.38,0.408,0.333,0.527,22.68,175.4
Kaimur,Bihar,365,62,4.72,4.36,21.92,22.02,-0.35,0.466,0.661,0.36,17.27,302.1
Una,Himachal Pradesh,365,147,10.47,4.31,23.71,21.49,-6.16,0.602,0.551,0.664,23.7,166.2
Mirzapur,Uttar Pradesh,365,70,5.27,4.08,22.62,21.24,-1.2,0.5,0.643,0.409,18.57,301.5
Palnadu,Andhra Pradesh,365,134,8.63,1.52,21.18,20.92,-7.11,0.383,0.306,0.512,24.88,146.2
Saitual,Mizoram,365,70,3.17,14.86,12.92,20.83,11.69,0.52,0.943,0.359,38.57,61.8
Garhwa,Jharkhand,365,125,11.6,5.41,23.6,20.73,-6.2,0.854,0.84,0.868,28.11,132.7
Champhai,Mizoram,365,76,3.63,14.96,9.67,20.54,11.33,0.536,0.934,0.376,37.82,58.9
Mancherial,Telangana,1095,99,2.23,1.68,22.2,20.33,-0.55,0.3,0.545,0.207,7.09,371.5
Chatra,Jharkhand,365,64,1.96,11.93,9.42,20.13,9.97,0.414,0.656,0.302,39.3,62.7
Serchhip,Mizoram,365,70,3.17,13.19,12.78,19.62,10.01,0.548,0.943,0.386,36.55,65.5
Kolasib,Mizoram,365,96,4.99,13.95,13.74,19.57,8.96,0.623,0.896,0.478,34.32,68.8
Pherzawl,Manipur,365,70,3.09,12.03,10.29,19.03,8.94,0.442,0.757,0.312,32.76,77.0
Khawzawl,Mizoram,365,78,3.37,12.47,10.52,19.02,9.1,0.558,0.923,0.4,34.83,82.7
Shi Yomi,Arunachal Pradesh,365,63,2.48,13.24,19.71,18.96,10.75,0.338,0.794,0.215,34.14,63.3
Aurangabad,Bihar,365,49,4.06,6.33,19.13,18.95,2.27,0.462,0.796,0.325,24.8,182.5
Aizawl,Mizoram,365,93,4.41,12.28,11.76,18.77,7.87,0.552,0.828,0.414,36.57,69.5
Koderma,Jharkhand,365,45,2.95,8.46,13.65,18.41,5.51,0.416,0.822,0.278,33.2,113.8
Hnahthial,Mizoram,365,70,3.7,10.99,13.98,18.25,7.28,0.498,0.843,0.353,32.33,86.7
Rayagada,Odisha,365,59,5.64,2.46,18.05,18.06,-3.17,0.448,0.661,0.339,15.3,150.0
