date,district_id,name,state,zone,observed,raw,served,p_moderate
2025-01-01,1,Anantapur,Andhra Pradesh,south,0.0,0.0,0.0,0.00042499017
2025-01-01,4,Guntur,Andhra Pradesh,south,0.0,0.0,0.0,0.00036583224
2025-01-01,5,YSR Kadapa,Andhra Pradesh,south,0.0,0.0,0.0,0.0001820226
2025-01-01,6,Krishna,Andhra Pradesh,south,0.0,0.0,0.0,0.00094661576
2025-01-01,7,Kurnool,Andhra Pradesh,south,0.0,0.0,0.0,0.0010080216
2025-01-01,8,Nellore,Andhra Pradesh,south,0.0,0.7,0.0,0.00048302146
2025-01-01,9,Prakasam,Andhra Pradesh,south,0.0,0.0,0.0,0.00058591913
2025-01-01,10,Srikakulam,Andhra Pradesh,south,0.0,0.0,0.0,0.00035205914
2025-01-01,12,Vizianagaram,Andhra Pradesh,south,0.0,0.0,0.0,0.000531836
2025-01-01,13,West Godavari,Andhra Pradesh,south,0.0,0.0,0.0,0.0019130474
2025-01-01,14,Tirupati,Andhra Pradesh,south,0.0,0.1,0.0,0.00064507907
2025-01-01,15,Annamayya,Andhra Pradesh,south,0.0,0.0,0.0,0.0014277147
2025-01-01,16,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,south,0.0,0.0,0.0,0.00089806964
2025-01-01,18,NTR,Andhra Pradesh,south,0.0,0.0,0.0,0.0008510353
2025-01-01,19,Bapatla,Andhra Pradesh,south,0.0,0.0,0.0,0.0007036804
2025-01-01,20,Palnadu,Andhra Pradesh,south,0.0,0.0,0.0,0.0002776858
2025-01-01,21,Eluru,Andhra Pradesh,south,0.0,0.0,0.0,0.00076456333
2025-01-01,22,Nandyal,Andhra Pradesh,south,0.0,0.0,0.0,0.00056554115
2025-01-01,23,Parvathipuram Manyam,Andhra Pradesh,south,0.0,0.0,0.0,0.00077327463
2025-01-01,24,Sri Sathya Sai,Andhra Pradesh,south,0.0,0.0,0.0,0.0004485274
2025-01-01,26,Machilipatnam,Andhra Pradesh,south,0.0,0.0,0.0,0.0010290194
2025-01-01,27,Anjaw,Arunachal Pradesh,northeast,0.0,0.0,0.0,0.048978057
2025-01-01,30,East Siang,Arunachal Pradesh,northeast,0.0,0.0,0.0,0.017431283
2025-01-01,31,Upper Siang,Arunachal Pradesh,northeast,0.0,0.0,0.0,0.06755612
2025-01-01,36,Lower Dibang Valley,Arunachal Pradesh,northeast,0.0,0.0,0.0,0.055274144
2025-01-01,41,Shi Yomi,Arunachal Pradesh,northeast,0.0,0.0,0.0,0.057729267
2025-01-01,42,Siang,Arunachal Pradesh,northeast,0.0,0.3,0.0,0.08733387
2025-01-01,45,Upper Subansiri,Arunachal Pradesh,northeast,0.0,0.0,0.0,0.05975605
2025-01-01,50,Lepa Rada,Arunachal Pradesh,northeast,0.0,0.0,0.0,0.05966159
2025-01-01,52,Dibang Valley,Arunachal Pradesh,northeast,0.0,0.0,0.0,0.055274144
2025-01-01,89,Arwal,Bihar,east,0.0,0.0,0.0,0.006005819
2025-01-01,90,Aurangabad,Bihar,east,0.0,0.0,0.0,0.013173597
2025-01-01,91,Banka,Bihar,east,0.0,0.0,0.0,0.0073547065
2025-01-01,92,Begusarai,Bihar,east,0.0,0.0,0.0,0.0035249067
2025-01-01,93,Bhagalpur,Bihar,east,0.0,0.0,0.0,0.0050309994
2025-01-01,94,Bhojpur,Bihar,east,0.0,0.0,0.0,0.003319641
2025-01-01,95,Buxar,Bihar,east,0.0,0.0,0.0,0.0041026487
2025-01-01,98,Gaya,Bihar,east,0.0,0.0,0.0,0.010948674
2025-01-01,100,Jamui,Bihar,east,0.0,0.0,0.0,0.007372645
2025-01-01,101,Kaimur,Bihar,east,0.0,0.0,0.0,0.0061779735
2025-01-01,103,Khagaria,Bihar,east,0.0,0.0,0.0,0.0022072461
2025-01-01,105,Lakhisarai,Bihar,east,0.0,0.0,0.0,0.005737053
2025-01-01,108,Munger,Bihar,east,0.0,0.0,0.0,0.0019727668
2025-01-01,110,Nalanda,Bihar,east,0.0,0.0,0.0,0.005904107
2025-01-01,111,Nawada,Bihar,east,0.0,0.0,0.0,0.0050141746
2025-01-01,114,Rohtas,Bihar,east,0.0,0.0,0.0,0.0057506375
2025-01-01,118,Sheikhpura,Bihar,east,0.0,0.0,0.0,0.0063643428
2025-01-01,125,Nawada,Bihar,east,0.0,0.0,0.0,0.0050141746
2025-01-01,126,Balod,Chhattisgarh,central,0.0,0.0,0.0,0.00823359
2025-01-01,129,Bastar,Chhattisgarh,central,0.0,0.0,0.0,0.0038280534
2025-01-01,130,Bemetara,Chhattisgarh,central,0.0,0.0,0.0,0.015384265
2025-01-01,131,Bijapur,Chhattisgarh,central,0.0,0.0,0.0,0.0018365991
2025-01-01,133,Dantewada,Chhattisgarh,central,0.0,0.0,0.0,0.0012649471
2025-01-01,134,Dhamtari,Chhattisgarh,central,0.0,0.0,0.0,0.0034356927
2025-01-01,135,Durg,Chhattisgarh,central,0.0,0.0,0.0,0.006884716
2025-01-01,136,Gariaband,Chhattisgarh,central,0.0,0.0,0.0,0.008812641
2025-01-01,140,Kanker,Chhattisgarh,central,0.0,0.0,0.0,0.011930272
2025-01-01,141,Kondagaon,Chhattisgarh,central,0.0,0.0,0.0,0.002165223
2025-01-01,143,Mahasamund,Chhattisgarh,central,0.0,0.0,0.0,0.010899254
2025-01-01,145,Narayanpur,Chhattisgarh,central,0.0,0.0,0.0,0.0041750884
2025-01-01,147,Raipur,Chhattisgarh,central,0.0,0.0,0.0,0.007589356
2025-01-01,148,Rajnandgaon,Chhattisgarh,central,0.0,0.0,0.0,0.012218891
2025-01-01,151,Jagdalpur,Chhattisgarh,central,0.0,0.0,0.0,0.0036666915
2025-01-01,154,Charama,Chhattisgarh,central,0.0,0.0,0.0,0.008660533
2025-01-01,170,North Goa,Goa,west_coast,0.0,0.0,0.0,9.093345e-05
2025-01-01,171,South Goa,Goa,west_coast,0.0,0.0,0.0,0.00015760917
2025-01-01,173,Amreli,Gujarat,west,0.0,0.0,0.0,0.005614836
2025-01-01,177,Bharuch,Gujarat,west,0.0,0.0,0.0,0.00096035894
2025-01-01,178,Bhavnagar,Gujarat,west,0.0,0.0,0.0,0.0025506404
2025-01-01,180,Dang,Gujarat,west,0.0,0.0,0.0,0.0062657422
2025-01-01,182,Gir Somnath,Gujarat,west,0.0,0.0,0.0,0.0010736857
2025-01-01,183,Jamnagar,Gujarat,west,0.0,0.0,0.0,0.0076733995
2025-01-01,184,Junagadh,Gujarat,west,0.0,0.0,0.0,0.008995483
