date,district_id,name,state,zone,lat,lon,raw_rainfall,observed_rainfall,regime,regime_confidence,lead_time,wind_speed,wind_dir,cape,pressure,radiation,temp_range,temp_mean,day_of_year,month,monsoon_phase,is_peak_monsoon,latitude,longitude,p_exceed_7.5,p_exceed_64.5,p_exceed_124.5,p_exceed_244.5,pressure_anomaly,wind_cape_ratio,dry_flag,rain_category
2024-06-01,126,Balod,Chhattisgarh,central,21.2,80.77,0.7,0.77,orographic,0.6667,24,13.0,322,42.9,953.3,23.4,13.3,38.2,153,6,1,0,21.262611,80.03906,0.1648,0.1648,0.1648,0.1648,60.0,3.3,1,0
2024-06-01,129,Bastar,Chhattisgarh,central,19.1,80.83,0.2,0.0,coastal,0.6667,24,23.4,246,70.8,978.6,25.0,11.2,37.9,153,6,1,0,19.973969,80.03906,0.2,0.2,0.2,0.2,34.6,3.0,1,0
2024-06-01,130,Bemetara,Chhattisgarh,central,21.48,81.5,0.0,12.86,coastal,0.6667,24,20.2,310,53.8,969.0,22.2,10.3,38.9,153,6,1,0,21.49691,80.03906,0.7399,0.7399,0.7399,0.7399,44.2,2.7,1,0
2024-06-01,131,Bijapur,Chhattisgarh,central,18.97,80.53,0.2,0.0,coastal,0.6667,24,23.4,246,70.8,978.6,25.0,11.2,37.9,153,6,1,0,19.973969,80.03906,0.2,0.2,0.2,0.2,34.6,3.0,1,0
2024-06-01,134,Dhamtari,Chhattisgarh,central,20.7,81.55,1.0,0.0,orographic,0.6667,24,19.5,264,19.2,973.8,19.4,10.7,38.9,153,6,1,0,20.794014,80.03906,0.2,0.2,0.2,0.2,39.5,1.0,0,1
2024-06-01,135,Durg,Chhattisgarh,central,21.18,81.28,0.7,1.31,orographic,0.6667,24,13.0,322,42.9,953.3,23.4,13.3,38.2,153,6,1,0,21.262611,80.03906,0.3852,0.3852,0.3852,0.3852,60.0,3.3,1,0
2024-06-01,140,Kanker,Chhattisgarh,central,20.27,80.43,0.6,0.0,coastal,0.6667,24,26.5,253,49.2,978.6,26.3,10.6,38.1,153,6,1,0,20.208267,80.03906,0.05,0.05,0.05,0.05,34.6,1.9,1,0
2024-06-01,141,Kondagaon,Chhattisgarh,central,19.6,80.57,0.2,0.0,coastal,0.6667,24,23.4,246,70.8,978.6,25.0,11.2,37.9,153,6,1,0,19.973969,80.03906,0.2,0.2,0.2,0.2,34.6,3.0,1,0
2024-06-01,145,Narayanpur,Chhattisgarh,central,19.68,80.98,0.2,0.0,coastal,0.6667,24,23.4,246,70.8,978.6,25.0,11.2,37.9,153,6,1,0,19.973969,80.03906,0.2,0.2,0.2,0.2,34.6,3.0,1,0
2024-06-01,147,Raipur,Chhattisgarh,central,21.25,81.63,0.7,6.66,orographic,0.6667,24,13.0,322,42.9,953.3,23.4,13.3,38.2,153,6,1,0,21.262611,80.03906,0.6425,0.6425,0.6425,0.6425,60.0,3.3,1,0
2024-06-01,148,Rajnandgaon,Chhattisgarh,central,21.1,80.75,0.2,0.77,coastal,0.6667,24,23.3,276,35.0,972.1,25.4,11.0,39.6,153,6,1,0,21.028313,80.03906,0.1648,0.1648,0.1648,0.1648,41.1,1.5,1,0
2024-06-01,154,Charama,Chhattisgarh,central,20.53,80.77,0.3,0.0,coastal,0.6667,24,26.4,259,28.3,976.0,24.4,9.6,38.3,153,6,1,0,20.442566,80.03906,0.2,0.2,0.2,0.2,37.2,1.1,1,0
2024-06-01,173,Amreli,Gujarat,west,21.62,71.18,0.0,0.0,coastal,0.6667,24,36.5,246,52.5,987.1,26.0,10.5,34.0,153,6,1,0,21.731209,71.25,0.05,0.05,0.05,0.05,26.1,1.4,1,0
2024-06-01,177,Bharuch,Gujarat,west,21.7,72.98,0.0,0.0,western_disturbance,1.0,24,29.0,225,262.9,1002.2,26.8,9.3,34.0,153,6,1,0,21.731209,73.00781,0.2,0.2,0.2,0.2,11.0,9.1,1,0
2024-06-01,178,Bhavnagar,Gujarat,west,21.76,72.15,0.0,0.0,coastal,0.6667,24,45.7,214,49.2,1003.8,26.3,10.2,35.1,153,6,1,0,21.731209,72.1875,0.2,0.2,0.2,0.2,9.5,1.1,1,0
2024-06-01,180,Dang,Gujarat,west,20.75,73.68,0.0,0.0,orographic,0.6667,24,17.7,250,80.8,956.0,26.7,11.6,30.9,153,6,1,0,20.794014,73.71094,0.2,0.2,0.2,0.2,57.2,4.6,1,0
2024-06-01,182,Gir Somnath,Gujarat,west,20.97,70.37,0.0,0.0,western_disturbance,1.0,24,25.2,243,309.2,1004.8,20.9,4.1,31.7,153,6,1,0,21.028313,70.3125,0.2,0.2,0.2,0.2,8.5,12.3,1,0
2024-06-01,183,Jamnagar,Gujarat,west,22.47,70.07,0.0,0.0,coastal,0.6667,24,37.3,248,457.1,1002.8,24.6,4.7,31.8,153,6,1,0,22.551254,69.96094,0.2,0.2,0.2,0.2,10.5,12.3,1,0
2024-06-01,184,Junagadh,Gujarat,west,21.52,70.48,0.0,0.0,coastal,0.6667,24,29.3,240,150.4,938.6,23.3,7.8,29.8,153,6,1,0,21.49691,70.546875,0.05,0.05,0.05,0.05,74.6,5.1,1,0
2024-06-01,188,Narmada,Gujarat,west,21.8,73.5,0.0,0.0,coastal,0.6667,24,26.8,232,151.7,984.3,27.2,11.4,33.4,153,6,1,0,21.731209,73.47656,0.2,0.2,0.2,0.2,29.0,5.7,1,0
2024-06-01,189,Navsari,Gujarat,west,20.95,72.92,0.0,0.0,western_disturbance,1.0,24,22.2,234,533.3,1004.6,25.2,4.3,31.8,153,6,1,0,21.028313,72.890625,0.2,0.2,0.2,0.2,8.6,24.0,1,0
2024-06-01,192,Porbandar,Gujarat,west,21.63,69.6,0.0,0.0,western_disturbance,1.0,24,27.8,238,754.6,1004.6,19.6,3.3,30.8,153,6,1,0,21.61406,69.609375,0.05,0.05,0.05,0.05,8.6,27.1,1,0
