date,district_id,name,state,zone,lat,lon,raw_rainfall,observed_rainfall,regime,regime_confidence,lead_time,wind_speed,wind_dir,cape,pressure,radiation,temp_range,temp_mean,day_of_year,month,monsoon_phase,is_peak_monsoon,latitude,longitude,p_exceed_7.5,p_exceed_64.5,p_exceed_124.5,p_exceed_244.5
2022-06-01,126,Balod,Chhattisgarh,central,21.2,80.77,0.0,0.0,orographic,0.6667,24,10.8,292.0,,969.0,21.2,14.2,35.4,152,6,1,0,21.476273,79.97957,0.05,0.05,0.05,0.05
2022-06-01,130,Bemetara,Chhattisgarh,central,21.48,81.5,0.0,2.56,orographic,0.6667,24,10.8,292.0,,969.0,21.2,14.2,35.4,152,6,1,0,21.476273,79.97957,0.4805,0.4805,0.4805,0.4805
2022-06-01,135,Durg,Chhattisgarh,central,21.18,81.28,0.0,13.03,orographic,0.6667,24,10.8,292.0,,969.0,21.2,14.2,35.4,152,6,1,0,21.476273,79.97957,0.7389,0.7389,0.7389,0.7389
2022-06-01,140,Kanker,Chhattisgarh,central,20.27,80.43,0.0,0.0,orographic,0.6667,24,10.8,292.0,,969.0,21.2,14.2,35.4,152,6,1,0,21.476273,79.97957,0.05,0.05,0.05,0.05
2022-06-01,147,Raipur,Chhattisgarh,central,21.25,81.63,0.0,6.12,orographic,0.6667,24,10.8,292.0,,969.0,21.2,14.2,35.4,152,6,1,0,21.476273,79.97957,0.85,0.85,0.85,0.85
2022-06-01,148,Rajnandgaon,Chhattisgarh,central,21.1,80.75,0.0,0.0,orographic,0.6667,24,10.8,292.0,,969.0,21.2,14.2,35.4,152,6,1,0,21.476273,79.97957,0.05,0.05,0.05,0.05
2022-06-01,154,Charama,Chhattisgarh,central,20.53,80.77,0.0,0.0,orographic,0.6667,24,10.8,292.0,,969.0,21.2,14.2,35.4,152,6,1,0,21.476273,79.97957,0.05,0.05,0.05,0.05
2022-06-01,173,Amreli,Gujarat,west,21.62,71.18,0.0,0.0,orographic,0.3333,24,25.7,278.0,,993.3,25.1,16.2,33.3,152,6,1,0,21.476273,71.24617,0.2,0.2,0.2,0.2
2022-06-01,177,Bharuch,Gujarat,west,21.7,72.98,0.0,0.71,orographic,0.6667,24,18.1,228.0,,1001.8,26.1,11.1,33.5,152,6,1,0,21.757467,73.01539,0.2327,0.2327,0.2327,0.2327
2022-06-01,178,Bhavnagar,Gujarat,west,21.76,72.15,0.0,0.0,orographic,0.3333,24,26.1,198.0,,1004.1,25.9,8.9,31.2,152,6,1,0,21.757467,72.184616,0.2,0.2,0.2,0.2
2022-06-01,180,Dang,Gujarat,west,20.75,73.68,0.0,0.0,orographic,0.6667,24,15.8,240.0,,997.5,25.9,11.4,32.3,152,6,1,0,21.265377,73.50306,0.2,0.2,0.2,0.2
2022-06-01,182,Gir Somnath,Gujarat,west,20.97,70.37,0.0,0.0,orographic,0.3333,24,20.9,270.0,,1000.3,26.4,9.9,30.2,152,6,1,0,21.265377,70.29532,0.5,0.5,0.5,0.5
2022-06-01,183,Jamnagar,Gujarat,west,22.47,70.07,0.0,0.0,orographic,0.3333,24,32.0,260.0,,1003.8,26.4,7.0,30.2,152,6,1,0,22.530754,70.02075,0.05,0.05,0.05,0.05
2022-06-01,184,Junagadh,Gujarat,west,21.52,70.48,0.0,0.73,orographic,0.6667,24,19.1,270.0,,938.9,26.4,12.9,28.1,152,6,1,0,21.476273,70.51072,0.1588,0.1588,0.1588,0.1588
2022-06-01,188,Narmada,Gujarat,west,21.8,73.5,0.0,0.0,orographic,0.3333,24,20.3,229.0,,984.3,26.1,12.5,32.4,152,6,1,0,21.757467,73.47692,0.2,0.2,0.2,0.2
2022-06-01,189,Navsari,Gujarat,west,20.95,72.92,0.0,0.0,orographic,0.6667,24,19.7,228.0,,1001.8,26.1,9.5,32.1,152,6,1,0,21.265377,73.04481,0.2,0.2,0.2,0.2
2022-06-01,192,Porbandar,Gujarat,west,21.63,69.6,0.0,0.0,orographic,0.3333,24,21.4,266.0,,1005.2,26.3,4.6,29.2,152,6,1,0,21.757467,69.50769,0.05,0.05,0.05,0.05
2022-06-01,193,Rajkot,Gujarat,west,22.3,70.8,0.0,0.0,orographic,0.3333,24,22.3,276.0,,989.1,25.9,16.6,32.8,152,6,1,0,22.24956,70.754135,0.2,0.2,0.2,0.2
2022-06-01,195,Surat,Gujarat,west,21.17,72.83,0.0,0.0,orographic,0.6667,24,19.1,230.0,,1003.8,26.2,7.6,31.3,152,6,1,0,21.265377,72.76986,0.05,0.05,0.05,0.05
2022-06-01,196,Surendranagar,Gujarat,west,22.7,71.6,0.0,0.0,orographic,0.3333,24,25.8,272.0,,993.1,26.0,16.3,33.5,152,6,1,0,22.741652,71.45681,0.05,0.05,0.05,0.05
2022-06-01,197,Tapi,Gujarat,west,21.12,73.4,0.0,0.0,orographic,0.6667,24,15.8,240.0,,997.5,25.9,11.4,32.3,152,6,1,0,21.265377,73.50306,0.05,0.05,0.05,0.05
2022-06-01,198,Vadodara,Gujarat,west,22.3,73.2,0.0,17.08,orographic,0.6667,24,17.6,237.0,,1000.0,25.7,13.3,34.0,152,6,1,0,22.24956,73.264465,0.8576,0.8576,0.8576,0.8576
2022-06-01,199,Valsad,Gujarat,west,20.6,72.93,0.0,0.0,orographic,0.6667,24,19.7,228.0,,1001.8,26.1,9.5,32.1,152,6,1,0,21.265377,73.04481,0.2,0.2,0.2,0.2
2022-06-01,200,Devbhoomi Dwarka,Gujarat,west,22.2,69.95,0.0,1.72,orographic,0.3333,24,22.9,263.0,,998.8,26.4,13.8,32.1,152,6,1,0,22.24956,70.01033,0.6964,0.6964,0.6964,0.6964
2022-06-01,201,Morbi,Gujarat,west,22.82,70.83,0.0,0.28,orographic,0.3333,24,26.3,261.0,,997.8,26.5,12.7,32.0,152,6,1,0,22.741652,70.707596,0.2424,0.2424,0.2424,0.2424
2022-06-01,202,Chhota Udaipur,Gujarat,west,22.3,74.0,0.0,4.48,orographic,0.6667,24,17.0,251.0,,982.8,25.7,13.7,33.4,152,6,1,0,22.24956,74.00826,0.5342,0.5342,0.5342,0.5342
2022-06-01,203,Botad,Gujarat,west,22.17,71.67,0.0,0.0,orographic,0.6667,24,14.2,280.0,,996.4,25.8,15.6,34.6,152,6,1,0,22.24956,71.77686,0.2,0.2,0.2,0.2
2022-06-01,204,Gir Forest,Gujarat,west,21.1,70.8,0.0,0.0,orographic,0.3333,24,22.1,276.0,,982.9,25.3,14.5,30.8,152,6,1,0,21.265377,70.75356,0.2,0.2,0.2,0.2
2022-06-01,205,Narmada,Gujarat,west,21.8,73.5,0.0,0.0,orographic,0.3333,24,20.3,229.0,,984.3,26.1,12.5,32.4,152,6,1,0,21.757467,73.47692,0.2,0.2,0.2,0.2
2022-06-01,228,Bilaspur,Himachal Pradesh,north,31.33,76.75,0.0,0.0,orographic,0.6667,24,17.8,6.0,,961.5,24.2,17.6,30.9,152,6,1,0,30.966606,76.77725,0.05,0.05,0.05,0.05
2022-06-01,230,Hamirpur,Himachal Pradesh,north,31.68,76.53,0.0,2.1,orographic,0.6667,24,12.5,1.0,,920.0,23.0,14.9,27.8,152,6,1,0,31.739893,76.4946,0.83,0.83,0.83,0.83
2022-06-01,232,Kinnaur,Himachal Pradesh,north,31.65,78.25,0.0,0.18,orographic,0.6667,24,9.4,251.0,,631.0,30.1,10.2,3.7,152,6,1,0,31.669594,78.237404,0.5162,0.5162,0.5162,0.5162
2022-06-01,233,Kullu,Himachal Pradesh,north,31.95,77.1,0.0,0.0,orographic,0.6667,24,11.3,258.0,,853.4,28.0,18.6,21.7,152,6,1,0,31.739893,77.2509,0.2,0.2,0.2,0.2
2022-06-01,235,Mandi,Himachal Pradesh,north,31.7,76.93,0.0,0.0,orographic,0.6667,24,12.4,352.0,,877.1,26.0,17.5,23.8,152,6,1,0,31.739893,76.92677,0.2,0.2,0.2,0.2
2022-06-01,236,Shimla,Himachal Pradesh,north,31.1,77.17,0.0,14.11,orographic,0.6667,24,17.2,334.0,,854.7,27.0,15.6,22.9,152,6,1,0,30.966606,77.20379,0.2567,0.2567,0.2567,0.2567
2022-06-01,239,Una,Himachal Pradesh,north,31.48,76.27,0.0,4.08,orographic,0.6667,24,12.9,4.0,,927.0,23.1,16.7,27.6,152,6,1,0,31.739893,76.27851,0.1401,0.1401,0.1401,0.1401
2022-06-01,336,Barwani,Madhya Pradesh,central,22.03,74.9,0.0,0.0,orographic,0.6667,24,19.5,283.0,,980.6,23.7,13.0,33.9,152,6,1,0,21.968365,75.0,0.2,0.2,0.2,0.2
2022-06-01,339,Burhanpur,Madhya Pradesh,central,21.33,76.23,0.0,0.0,orographic,0.3333,24,22.4,315.0,,956.1,23.0,12.1,34.2,152,6,1,0,21.476273,76.21042,0.05,0.05,0.05,0.05
2022-06-01,340,Chhatarpur,Madhya Pradesh,central,24.92,79.58,0.0,0.0,orographic,0.6667,24,16.6,312.0,,971.4,24.3,14.9,33.8,152,6,1,0,24.99121,79.53714,0.5,0.5,0.5,0.5
2022-06-01,343,Datia,Madhya Pradesh,central,25.67,78.45,0.0,0.35,orographic,0.6667,24,14.0,285.0,,964.0,23.4,15.7,33.5,152,6,1,0,24.99121,78.47147,0.2521,0.2521,0.2521,0.2521
